eval_model_name,generator_model_name,re_eval_model_name,initial_log_path,adaptive_log_path,re_eval_log_path,use_example,use_cot_target,use_cot_in_context_attacker,num_epochs,adaptive_accuracy,adaptive_accuracy_judged,adaptive_scorer_name,re_eval_accuracy,re_eval_accuracy_judged,re_eval_scorer_name,judge_model_name,positive_samples,negative_samples,passed_judge_count,adaptive_incorrect_count,re_eval_incorrect_count,novelty_results_file
anthropic/claude-3-5-sonnet-latest,openai/o3-mini,anthropic/claude-3-5-sonnet-latest,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T23-10-22+00-00_legalbench-initial-aggregated_ecwTFykH8jHKUQJX3XEBZ4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/anthropic_claude-3-5-sonnet-latest_openai_o3-mini_pos1_neg8/2025-04-04T23-46-42+00-00_adaptive-legal_CX4ttKYZBhqfJyxzRnx2yE.eval,,True,True,True,150,0.7933333333333333,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,legal_150_results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_anthropic_claude-3-5-sonnet-latest_openai_o3-mini_20250404_234842.csv
openai/gpt-4o,openai/gpt-4o,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T23-10-22+00-00_legalbench-initial-aggregated_ecwTFykH8jHKUQJX3XEBZ4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-04T23-56-28+00-00_adaptive-legal_WQCAXJJDohj4Nm4psA3C2f.eval,,True,False,True,150,0.4866666666666667,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,legal_150_results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o_openai_gpt-4o_20250404_235916.csv
openai/gpt-4o,openai/gpt-4o,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T23-10-22+00-00_legalbench-initial-aggregated_ecwTFykH8jHKUQJX3XEBZ4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-04T23-56-28+00-00_adaptive-legal_WQCAXJJDohj4Nm4psA3C2f.eval,,True,False,True,150,0.4866666666666667,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,legal_150_results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o_openai_gpt-4o_20250404_235916.csv
openai/gpt-4o,openai/gpt-4o,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T23-10-22+00-00_legalbench-initial-aggregated_ecwTFykH8jHKUQJX3XEBZ4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-04T23-56-28+00-00_adaptive-legal_WQCAXJJDohj4Nm4psA3C2f.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/together_meta-llama_Llama-3.3-70B-Instruct-Turbo/2025-04-04T23-59-34+00-00_re-evaluate-adaptive-legal_caSAmFSgpW2TgHwLfxFf8j.eval,True,False,True,150,0.4866666666666667,,adaptive_legal_scorer,0.29411764705882354,,choice,anthropic/claude-3-5-sonnet-latest,1,8,17,17,12,legal_150_results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o_openai_gpt-4o_20250404_235916.csv
openai/gpt-4o,openai/gpt-4o,openai/o3-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T23-10-22+00-00_legalbench-initial-aggregated_ecwTFykH8jHKUQJX3XEBZ4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-04T23-56-28+00-00_adaptive-legal_WQCAXJJDohj4Nm4psA3C2f.eval,,True,False,True,150,0.4866666666666667,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,legal_150_results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o_openai_gpt-4o_20250404_235916.csv
openai/gpt-4o,openai/gpt-4o,anthropic/claude-3-5-sonnet-latest,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T23-10-22+00-00_legalbench-initial-aggregated_ecwTFykH8jHKUQJX3XEBZ4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-04T23-56-28+00-00_adaptive-legal_WQCAXJJDohj4Nm4psA3C2f.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/anthropic_claude-3-5-sonnet-latest/2025-04-04T23-59-42+00-00_re-evaluate-adaptive-legal_KEf49o55kCZ8S63G35hkTA.eval,True,False,True,150,0.4866666666666667,,adaptive_legal_scorer,0.5882352941176471,,choice,anthropic/claude-3-5-sonnet-latest,1,8,17,17,7,legal_150_results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o_openai_gpt-4o_20250404_235916.csv
openai/gpt-4o-mini,openai/gpt-4o,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T23-10-22+00-00_legalbench-initial-aggregated_ecwTFykH8jHKUQJX3XEBZ4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-04T23-59-44+00-00_adaptive-legal_32W3qWBuXYSttMZeNwG22C.eval,,True,False,True,150,0.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,legal_150_results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o-mini_openai_gpt-4o_20250405_000250.csv
openai/gpt-4o-mini,openai/gpt-4o,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T23-10-22+00-00_legalbench-initial-aggregated_ecwTFykH8jHKUQJX3XEBZ4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-04T23-59-44+00-00_adaptive-legal_32W3qWBuXYSttMZeNwG22C.eval,,True,False,True,150,0.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,legal_150_results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o-mini_openai_gpt-4o_20250405_000250.csv
openai/gpt-4o-mini,openai/gpt-4o,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T23-10-22+00-00_legalbench-initial-aggregated_ecwTFykH8jHKUQJX3XEBZ4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-04T23-59-44+00-00_adaptive-legal_32W3qWBuXYSttMZeNwG22C.eval,,True,False,True,150,0.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,legal_150_results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o-mini_openai_gpt-4o_20250405_000250.csv
openai/gpt-4o-mini,openai/gpt-4o,openai/o3-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T23-10-22+00-00_legalbench-initial-aggregated_ecwTFykH8jHKUQJX3XEBZ4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-04T23-59-44+00-00_adaptive-legal_32W3qWBuXYSttMZeNwG22C.eval,,True,False,True,150,0.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,legal_150_results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o-mini_openai_gpt-4o_20250405_000250.csv
openai/gpt-4o-mini,openai/gpt-4o,anthropic/claude-3-5-sonnet-latest,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T23-10-22+00-00_legalbench-initial-aggregated_ecwTFykH8jHKUQJX3XEBZ4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-04T23-59-44+00-00_adaptive-legal_32W3qWBuXYSttMZeNwG22C.eval,,True,False,True,150,0.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,legal_150_results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o-mini_openai_gpt-4o_20250405_000250.csv
together/meta-llama/Llama-3.3-70B-Instruct-Turbo,openai/gpt-4o,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T23-10-22+00-00_legalbench-initial-aggregated_ecwTFykH8jHKUQJX3XEBZ4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o_pos1_neg8/2025-04-05T00-02-53+00-00_adaptive-legal_A8kzk3Sv5hJ9RrCy3uQTmc.eval,,True,False,True,150,0.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,legal_150_results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o_20250405_000556.csv
together/meta-llama/Llama-3.3-70B-Instruct-Turbo,openai/gpt-4o,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T23-10-22+00-00_legalbench-initial-aggregated_ecwTFykH8jHKUQJX3XEBZ4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o_pos1_neg8/2025-04-05T00-02-53+00-00_adaptive-legal_A8kzk3Sv5hJ9RrCy3uQTmc.eval,,True,False,True,150,0.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,legal_150_results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o_20250405_000556.csv
together/meta-llama/Llama-3.3-70B-Instruct-Turbo,openai/gpt-4o,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T23-10-22+00-00_legalbench-initial-aggregated_ecwTFykH8jHKUQJX3XEBZ4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o_pos1_neg8/2025-04-05T00-02-53+00-00_adaptive-legal_A8kzk3Sv5hJ9RrCy3uQTmc.eval,,True,False,True,150,0.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,legal_150_results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o_20250405_000556.csv
together/meta-llama/Llama-3.3-70B-Instruct-Turbo,openai/gpt-4o,openai/o3-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T23-10-22+00-00_legalbench-initial-aggregated_ecwTFykH8jHKUQJX3XEBZ4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o_pos1_neg8/2025-04-05T00-02-53+00-00_adaptive-legal_A8kzk3Sv5hJ9RrCy3uQTmc.eval,,True,False,True,150,0.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,legal_150_results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o_20250405_000556.csv
together/meta-llama/Llama-3.3-70B-Instruct-Turbo,openai/gpt-4o,anthropic/claude-3-5-sonnet-latest,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T23-10-22+00-00_legalbench-initial-aggregated_ecwTFykH8jHKUQJX3XEBZ4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o_pos1_neg8/2025-04-05T00-02-53+00-00_adaptive-legal_A8kzk3Sv5hJ9RrCy3uQTmc.eval,,True,False,True,150,0.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,legal_150_results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o_20250405_000556.csv
openai/o3-mini,openai/gpt-4o,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T23-10-22+00-00_legalbench-initial-aggregated_ecwTFykH8jHKUQJX3XEBZ4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_o3-mini_openai_gpt-4o_pos1_neg8/2025-04-05T00-05-59+00-00_adaptive-legal_XRmbiuaosmNiA5jrsTHDEg.eval,,True,False,True,150,0.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,legal_150_results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_o3-mini_openai_gpt-4o_20250405_000904.csv
openai/o3-mini,openai/gpt-4o,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T23-10-22+00-00_legalbench-initial-aggregated_ecwTFykH8jHKUQJX3XEBZ4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_o3-mini_openai_gpt-4o_pos1_neg8/2025-04-05T00-05-59+00-00_adaptive-legal_XRmbiuaosmNiA5jrsTHDEg.eval,,True,False,True,150,0.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,legal_150_results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_o3-mini_openai_gpt-4o_20250405_000904.csv
openai/o3-mini,openai/gpt-4o,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T23-10-22+00-00_legalbench-initial-aggregated_ecwTFykH8jHKUQJX3XEBZ4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_o3-mini_openai_gpt-4o_pos1_neg8/2025-04-05T00-05-59+00-00_adaptive-legal_XRmbiuaosmNiA5jrsTHDEg.eval,,True,False,True,150,0.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,legal_150_results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_o3-mini_openai_gpt-4o_20250405_000904.csv
openai/o3-mini,openai/gpt-4o,openai/o3-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T23-10-22+00-00_legalbench-initial-aggregated_ecwTFykH8jHKUQJX3XEBZ4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_o3-mini_openai_gpt-4o_pos1_neg8/2025-04-05T00-05-59+00-00_adaptive-legal_XRmbiuaosmNiA5jrsTHDEg.eval,,True,False,True,150,0.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,legal_150_results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_o3-mini_openai_gpt-4o_20250405_000904.csv
openai/o3-mini,openai/gpt-4o,anthropic/claude-3-5-sonnet-latest,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T23-10-22+00-00_legalbench-initial-aggregated_ecwTFykH8jHKUQJX3XEBZ4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_o3-mini_openai_gpt-4o_pos1_neg8/2025-04-05T00-05-59+00-00_adaptive-legal_XRmbiuaosmNiA5jrsTHDEg.eval,,True,False,True,150,0.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,legal_150_results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_o3-mini_openai_gpt-4o_20250405_000904.csv
anthropic/claude-3-5-sonnet-latest,openai/gpt-4o,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T23-10-22+00-00_legalbench-initial-aggregated_ecwTFykH8jHKUQJX3XEBZ4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/anthropic_claude-3-5-sonnet-latest_openai_gpt-4o_pos1_neg8/2025-04-05T00-09-07+00-00_adaptive-legal_kcQAhPH7FLAKV7t4RQF3fV.eval,,True,False,True,150,0.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,legal_150_results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_anthropic_claude-3-5-sonnet-latest_openai_gpt-4o_20250405_001306.csv
anthropic/claude-3-5-sonnet-latest,openai/gpt-4o,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T23-10-22+00-00_legalbench-initial-aggregated_ecwTFykH8jHKUQJX3XEBZ4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/anthropic_claude-3-5-sonnet-latest_openai_gpt-4o_pos1_neg8/2025-04-05T00-09-07+00-00_adaptive-legal_kcQAhPH7FLAKV7t4RQF3fV.eval,,True,False,True,150,0.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,legal_150_results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_anthropic_claude-3-5-sonnet-latest_openai_gpt-4o_20250405_001306.csv
anthropic/claude-3-5-sonnet-latest,openai/gpt-4o,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T23-10-22+00-00_legalbench-initial-aggregated_ecwTFykH8jHKUQJX3XEBZ4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/anthropic_claude-3-5-sonnet-latest_openai_gpt-4o_pos1_neg8/2025-04-05T00-09-07+00-00_adaptive-legal_kcQAhPH7FLAKV7t4RQF3fV.eval,,True,False,True,150,0.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,legal_150_results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_anthropic_claude-3-5-sonnet-latest_openai_gpt-4o_20250405_001306.csv
anthropic/claude-3-5-sonnet-latest,openai/gpt-4o,openai/o3-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T23-10-22+00-00_legalbench-initial-aggregated_ecwTFykH8jHKUQJX3XEBZ4.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/anthropic_claude-3-5-sonnet-latest_openai_gpt-4o_pos1_neg8/2025-04-05T00-09-07+00-00_adaptive-legal_kcQAhPH7FLAKV7t4RQF3fV.eval,,True,False,True,150,0.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,legal_150_results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_anthropic_claude-3-5-sonnet-latest_openai_gpt-4o_20250405_001306.csv
